Obj336: "Parent	Gemstone	Cosas	Diamond01	ModelName	gstone01"																	
Obj337: "Parent	Gemstone	Name	Saphire02	ModelName	gstone02"																	
Obj338: "Parent	Gemstone	Name	SquareRuby03	ModelName	gstone03"																	
Obj339: "Parent	Gemstone	Name	Opa04	ModelName	gstone04"																	
Obj340: "Parent	Gemstone	Name	Ruby05	ModelName	gstone05"																	
Obj341: "Parent	Gemstone	Name	Amethyst06	ModelName	gstone06"																	
Obj342: "Parent	Gemstone	Name	Amber07	ModelName	gstone07"																	
Obj343: "Parent	Gemstone	Name	Smaragd08	ModelName	gstone08"																	
Obj344: "Parent	Fence	Personal	Vents	ModelName	Gvent"																	
Obj345: "Parent	Weapons	Name	DHellebard	ModelName	DHellebard"																	
Obj346: "Parent	Clocks	Personal	HourHand	ModelName	hour"																	
Obj347: "Parent	Buildings	Name	JOHouse01	ModelName	house01	Scripts:Script 0	DAutoTxtRepl"															
Obj348: "Parent	JOHouse01	Name	House01R	ModelName	House01R"																	
Obj349: "Parent	JOHouse01	Name	JOHouse02	ModelName	house02"																	
Obj350: "Parent	JOHouse01	Name	House02R	ModelName	House02R"																	
Obj351: "Parent	JOHouse01	Name	JOHouse03	ModelName	house03"																	
Obj352: "Parent	JOHouse01	Name	House03R	ModelName	House03R"																	
Obj353: "Parent	JOHouse01	Name	House03RAlone	ModelName	House03RAlone"																	
Obj354: "Parent	JOHouse01	Name	House03RSingle	ModelName	House03RSingle"																	
Obj355: "Parent	JOHouse01	Name	House03RTower	ModelName	House03RTower"																	
Obj356: "Parent	JOHouse01	Name	JOHouse04	ModelName	house04"																	
Obj357: "Parent	JOHouse01	Name	House04R	ModelName	House04R"																	
Obj358: "Parent	JOHouse01	Name	JOHouse05	ModelName	house05"																	
Obj359: "Parent	JOHouse01	Name	House05R	ModelName	House05R"																	
Obj360: "Parent	JOHouse01	Name	House05Rb	ModelName	House05Rb"																	
Obj361: "Parent	JOHouse01	Name	House05RSingle	ModelName	House05RSingle"																	
Obj362: "Parent	JOHouse01	Name	House05RTower	ModelName	House05RTower"																	
Obj363: "Parent	JOHouse01	Name	JOHouse06	ModelName	house06"																	
Obj364: "Parent	JOHouse01	Name	House06R	ModelName	House06R"																	
Obj365: "Parent	Buildings	Name	House07A	ModelName	House07A"																	
Obj366: "Parent	House07A	Name	House07A2	ModelName	House07A2"																	
Obj367: "Parent	House07A	Name	House07B1	ModelName	House07B1"																	
Obj368: "Parent	House07A	Name	House07B2	ModelName	House07B2"																	
Obj369: "Parent	House07A	Name	House07B3	ModelName	House07B3"																	
Obj370: "Parent	House07A	Name	House07C	ModelName	House07C"																	
Obj371: "Parent	House07A	Name	House07D	ModelName	House07D"																	
Obj372: "Parent	House07A	Name	House07Win1	ModelName	House07Win1"																	
Obj373: "Parent	House07A	Name	House07Win2	ModelName	House07Win2"																	
Obj374: "Parent	Buildings	Name	HousePartA	ModelName	HousePartA"																	
Obj375: "Parent	HousePartA	Name	HousePartB	ModelName	HousePartB"																	
Obj376: "Parent	HousePartA	Name	HousePartC	ModelName	HousePartC"																	
Obj377: "Parent	HousePartA	Name	HousePartD	ModelName	HousePartD"																	
Obj378: "Parent	HousePartA	Name	HousePartE	ModelName	HousePartE"																	
Obj379: "Parent	HousePartA	Name	HousePartF	ModelName	HousePartF"																	
Obj380: "Parent	HousePartA	Name	HousePartG	ModelName	HousePartG"																	
Obj381: "Parent	OfficeSupplies	Name	Inkpot	ModelName	inkpot"																	
Obj382: "Parent	DIvy	Name	Ivy2Decal	ModelName	Ivy2Decal"																	
Obj383: "Parent	DIvy	Name	Ivy3Decal	ModelName	Ivy3Decal"																	
Obj384: "Parent	Door	Name	JoDoor	ModelName	JoDoor	FrobInfo:WorldAction	[None]"															
Obj385: "Parent	DecoWindows	Name	JoWin1	ModelName	JoWin1"																	
Obj386: "Parent	DecoWindows	Name	JoWin2	ModelName	JoWin2"																	
Obj387: "Parent	NumberButton	Name	lcbuttn2	ModelName	lcbuttn2"																	
Obj388: "Parent	Button	Name	lcbutton	ModelName	lcbutton"																	
Obj389: "Parent	Equipment	Name	Lighter3	ModelName	DLighter3"																	
Obj390: "Parent	Gizmo	Name	Lightfrachain	ModelName	lightfrachain"																	
Obj391: "Parent	Purse	Name	PurseBlack	ModelName	LotPouc1"																	
Obj392: "Parent	Purse	Name	PurseBlackOpen	ModelName	LotPouc1i"																	
Obj393: "Parent	Purse	Name	PurseOpen	ModelName	LotPouc2i"																	
Obj394: "Parent	Purse	Name	PurseOpen2	ModelName	LotPouci"																	
Obj395: "Parent	Purse	Name	PurseOrange	ModelName	LotPouc3"																	
Obj396: "Parent	Purse	Name	PurseOrangeOpen	ModelName	LotPouc3i"																	
Obj397: "Parent	Purse	Name	PurseBlue	ModelName	LotPouc4"																	
Obj398: "Parent	Purse	Name	PurseBlueOpen	ModelName	LotPouc4i"																	
Obj399: "Parent	Purse	Name	PurseGreen	ModelName	LotPouc5"																	
Obj400: "Parent	Purse	Name	PurseGreenOpen	ModelName	LotPouc5i"																	
Obj401: "Parent	Chair	Name	LeatherArmChair	ModelName	DArmChair"																	
Obj402: "Parent	Clocks	Personal	MinuteHand	ModelName	minute"																	
Obj403: "Parent	Equipment	Name	ModernBomb	ModelName	DBomb2"																	
Obj404: "Parent	ModernBomb	Name	ModBombOn	ModelName	DBomb2On"																	
Obj405: "Parent	Lucre	Name	MoneyBatch	ModelName	DMoneyBatch"																	
Obj406: "Parent	MoneyBatch	Name	MoneyBatch2	ModelName	DMoneyBatch2"																	
Obj407: "Parent	MoneyBatch	Name	MoneyBill	ModelName	DMoneyBill"																	
Obj408: "Parent	MoneyBatch	Name	MoneyBill2	ModelName	DMoneyBill2"																	
Obj409: "Parent	MoneyBatch	Name	MoneyBurned	ModelName	DMoneyBurned"																	
Obj410: "Parent	MoneyBatch	Name	MoneyBurned2	ModelName	DMoneyBurned2"																	
Obj411: "Parent	MushroomX	Name	MushroomsR	ModelName	DMushroomsR"																	
Obj412: "Parent	MushroomX	Name	Mushrooms2R	ModelName	DMushrooms2R"																	
Obj413: "Parent	WoodCrateSealed	Name	DCrate02	ModelName	DNCrate02"																	
Obj414: "Parent	DCrate02	Name	DBox02	ModelName	DBox02	Scale	<0.3,0.3,0.15"															
Obj415: "Parent	DCrate02	Name	DCrate02Open	ModelName	DNCrate02Open"																	
Obj416: "Parent	Key	Name	DKey02	ModelName	DKey02"																	
Obj417: "Parent	Key	Name	DKey03	ModelName	DKey03"																	
Obj418: "SKIP	LockPick	Name	DLockPick3	ModelName	DLockPick3	EdComment	Will be updated"															
Obj419: "SKIP	LockPick	Name	DLockPick3b	ModelName	DLockPick3b	EdComment	Will be updated"															
Obj420: "Parent	Cheese	Name	DCheese	ModelName	DCheesePart"																	
Obj421: "Parent	Cheese	Name	DCheeseRound2	ModelName	DCheese"																	
Obj422: "Parent	Cheese	Name	DCheeseRound	ModelName	DCheese2"																	
Obj423: "Parent	ClockFace	Personal	O_ClockFace	ModelName	oglass"																	
Obj424: "Parent	Barrel	Name	DPallet	ModelName	Dpallet"																	
Obj425: "Parent	Trees	Name	Palm1a	ModelName	Palm1a"																	
Obj426: "Parent	DTreeParts	Name	Palm1aLeaves	ModelName	Palm1aLeaves"																	
Obj427: "Parent	Palm1a	Name	Palm1b	ModelName	Palm1b"																	
Obj428: "Parent	DTreeParts	Name	Palm1bLeaves	ModelName	Palm1bLeaves"																	
Obj429: "Parent	DTreeParts	Name	Palm1Trunk	ModelName	Palm1Trunk"																	
Obj430: "Parent	Palm1a	Name	Palm2a	ModelName	Palm2a"																	
Obj431: "Parent	DTreeParts	Name	Palm2aLeaves	ModelName	Palm2aLeaves"																	
Obj432: "Parent	Palm1a	Name	Palm2b	ModelName	Palm2b"																	
Obj433: "Parent	DTreeParts	Name	Palm2bLeaves	ModelName	Palm2bLeaves"																	
Obj434: "Parent	DTreeParts	Name	Palm2Trunk	ModelName	Palm2Trunk"																	
Obj435: "Parent	Palm1a	Name	Palm3a	ModelName	Palm3a"																	
Obj436: "Parent	DTreeParts	Name	Palm3aLeaves	ModelName	Palm3aLeaves"																	
Obj437: "Parent	Palm1a	Name	Palm3b	ModelName	Palm3b"																	
Obj438: "Parent	DTreeParts	Name	Palm3bLeaves	ModelName	Palm3bLeaves"																	
Obj439: "Parent	DTreeParts	Name	Palm3Trunk	ModelName	Palm3Trunk"																	
Obj440: "Parent	Palm1a	Name	Palm4a	ModelName	Palm4a"																	
Obj441: "Parent	DTreeParts	Name	Palm4aLeaves	ModelName	Palm4aLeaves"																	
Obj442: "Parent	Palm1a	Name	Palm4b	ModelName	Palm4b"																	
Obj443: "Parent	DTreeParts	Name	Palm4bLeaves	ModelName	Palm4bLeaves"																	
Obj444: "Parent	Palm1a	Name	Palm5a	ModelName	Palm5a"																	
Obj445: "Parent	DTreeParts	Name	Palm5aLeaves	ModelName	Palm5aLeaves"																	
Obj446: "Parent	Palm1a	Name	Palm5b	ModelName	Palm5b"																	
Obj447: "Parent	DTreeParts	Name	Palm5bLeaves	ModelName	Palm5bLeaves"																	
Obj448: "Parent	DTreeParts	Name	Palm5Trunk	ModelName	Palm5Trunk"																	
Obj449: "Parent	Palm1a	Name	Palm6a	ModelName	Palm6a"																	
Obj450: "Parent	DTreeParts	Name	Palm6aLeaves	ModelName	Palm6aLeaves"																	
Obj451: "Parent	Palm1a	Name	Palm6b	ModelName	Palm6b"																	
Obj452: "Parent	DTreeParts	Name	Palm6bLeaves	ModelName	Palm6bLeaves"																	
Obj453: "Parent	DTreeParts	Name	Palm6Trunk	ModelName	Palm6Trunk"																	
Obj454: "Parent	PottedPlants	Name	DPotPalmSingle	ModelName	DPotPalm"																	
Obj455: "Parent	Decorative	Name	DPillars	EdComment	Need to manually add M-MatStone	PhysType:Type	#0	PhysControl:Controls Active	#24"													
Obj456: "Parent	DPillars	Name	PillarBlock	ModelName	DPillarBlock"																	
Obj457: "Parent	DPillars	Name	DPillarConc	ModelName	DPillarConc"																	
Obj458: "Parent	DPillars	Name	DPillarEgyp	ModelName	DPillarEgyp"																	
Obj459: "Parent	DPillars	Name	DPillarGreek	ModelName	DPillarGreek"																	
Obj460: "Parent	DPillars	Name	DPillarPot	ModelName	DPillarX"																	
Obj461: "Parent	DPillars	Name	DPillarPotA	ModelName	DPillarMultiA"																	
Obj462: "Parent	DPillars	Name	DPillarPotB	ModelName	DPillarMultiB"																	
Obj463: "Parent	DPillars	Name	DPillarPotC	ModelName	DPillarMultiC"																	
Obj464: "Parent	DPillars	Name	DPillarPotD	ModelName	DPillarMultiD"																	
Obj465: "Parent	DPillars	Name	DPillarPotE	ModelName	DPillarMultiE"																	
Obj466: "Parent	DPillars	Name	DPillarRnd2	ModelName	DPillarRondR"																	
Obj467: "Parent	DPillars	Name	DPillarRound	ModelName	DPillarRound"																	
Obj468: "Parent	DPillars	Name	DPillarSimp	ModelName	DPillarSimp"																	
Obj469: "Parent	DPillars	Name	DPillarSpiral	ModelName	DPillarSpiral"																	
Obj470: "Parent	DPillars	Name	DPillarSteel	ModelName	DPillarSteel"																	
Obj471: "Parent	PottedPlants	Name	DPotPineSingle	ModelName	DPotPine"																	
Obj472: "Parent	Plant01	Name	V_Plant01	ModelName	plant01"																	
Obj473: "Parent	Plant01	Name	V_Plant01b	ModelName	V_plant01b	Scale	<8,1,10"															
Obj474: "Parent	Plant02	Name	V_Plant02	ModelName	V_plant02"																	
Obj475: "Parent	Plant02	Name	V_Plant02b	ModelName	V_plant02b"																	
Obj476: "Parent	DBushes	Name	DAutoRBush	ModelName	DBushR	Scripts:Script 0	DAutoTxtRepl"															
Obj477: "Parent	DAutoRBush	Name	DAutoRBush2	ModelName	DBushR2"																	
Obj478: "Parent	DAutoRBush	Name	DAutoRBush3	ModelName	DBushR3"																	
Obj479: "Parent	DAutoRBush	Name	DAutoRBush4	ModelName	DBushR4"																	
Obj480: "Parent	DAutoRBush	Name	DAutoRBush5	ModelName	DBushR5"																	
Obj481: "Parent	PottedPlants	Name	DPotBambooB	ModelName	DPotBambooB"																	
Obj482: "Parent	PottedPlants	Name	DPotBambooD	ModelName	DPotBambooD"																	
Obj483: "Parent	PottedPlants	Name	DPotBushD	ModelName	DPotBushD"																	
Obj484: "Parent	PottedPlants	Name	DPotEmptyA	ModelName	DPotEmptyA"																	
Obj485: "Parent	PottedPlants	Name	DPotEmptyB	ModelName	DPotEmptyB"																	
Obj486: "Parent	PottedPlants	Name	DPotEmptyC	ModelName	DPotEmptyC"																	
Obj487: "Parent	PottedPlants	Name	DPotEmptyD	ModelName	DPotEmptyD"																	
Obj488: "Parent	PottedPlants	Name	DPotEmptyE	ModelName	DPotEmptyE"																	
Obj489: "Parent	PottedPlants	Name	DPotPalmD	ModelName	DPotPalmD"																	
Obj490: "Parent	PottedPlants	Name	DPotPineD	ModelName	DPotPineD"																	
Obj491: "Parent	PottedPlants	Name	DPotSpikyD	ModelName	DPotSpikyD"																	
Obj492: "Parent	Pedestal	Name	DFountain2	ModelName	DFountainB"																	
Obj493: "Parent	Rings	Name	DRing2	ModelName	DRing2	Scale	<0.1,0.1,0.1"															
Obj494: "Parent	Bottle	Name	Roundflask	ModelName	DRoundflask	EdComment	Maybe change associated texture"															
Obj495: "Parent	Weapon	Name	RoundShieldD01	ModelName	DRoundShield01"																	
Obj496: "Parent	RoundShieldD01	Name	RoundShieldD02	ModelName	DRoundShield02"																	
Obj497: "Parent	RoundShieldD01	Name	RoundShieldD03	ModelName	DRoundShield03"																	
Obj498: "Parent	RoundShieldD01	Name	RoundShieldD04	ModelName	DRoundShield04"																	
Obj499: "Parent	RoundShieldD01	Name	RoundShieldD05	ModelName	DRoundShield05"																	
Obj500: "Parent	Rowboat	Name	DRowboat	ModelName	DRowboat"																	
Obj501: "Parent	ClockFace	Name	ClockFaceR	ModelName	watchfacR"																	
Obj502: "Parent	Fireplace	Name	CoalFireGrate	ModelName	RSGrateSolo	EdComment	By RSoul"															
Obj503: "Parent	Papyrus	Name	LC_RPapyrus	ModelName	Scroll03	EdComment	readleaf"															
Obj504: "Parent	LC_RPapyrus	Name	LC_RPapyrusOpen	ModelName	Scroll03a"																	
Obj505: "Parent	vase	Name	LC_ScrollJar01	ModelName	ScrollJar01"																	
Obj506: "Parent	LC_ScrollJar01	Name	ScrollJar01lidB	ModelName	ScrollJar01lidB	EdComment	by readleaf - fits jar at same location"															
Obj507: "Parent	Sequoia1	Name	V_Sequoia1	ModelName	v_seq"																	
Obj508: "Parent	Sequoia1	Name	V_Sequoia2	ModelName	v_seq2"																	
Obj509: "Parent	Sequoia1	Name	V_Sequoia3	ModelName	v_seq3"																	
Obj510: "Parent	Cabinet	Name	DWoodShelf	ModelName	DWoodShelf"																	
Obj511: "Parent	TrVase	CoSas	cs-Krug-TR1	ModelName	cs-Krug-TR1"																	
Obj512: "Parent	TrVase	Name	cs-Krug-TR2	ModelName	cs-Krug-TR2"																	
Obj513: "Parent	TrVase	Name	cs-Krug-TR3	ModelName	cs-Krug-TR3"																	
Obj514: "Parent	TrVase	Name	cs-Vase-TR1	ModelName	cs-Vase-TR1"																	
Obj515: "Parent	TrVase	Name	cs-Vase-TR2	ModelName	cs-Vase-TR2"																	
Obj516: "Parent	TrVase	Name	cs-Vase-TR3	ModelName	cs-Vase-TR3"																	
Obj517: "Parent	TrVase	Name	cs-Vase-TR4	ModelName	cs-Vase-TR4"																	
Obj518: "Parent	TrVase	Name	sil-Krug-TR1	ModelName	sil-Krug-TR1"																	
Obj519: "Parent	TrVase	Name	sil-Krug-TR2	ModelName	sil-Krug-TR2"																	
Obj520: "Parent	TrVase	Name	sil-Krug-TR3	ModelName	sil-Krug-TR3"																	
Obj521: "Parent	TrVase	Name	sil-Vase-TR1	ModelName	sil-Vase-TR1"																	
Obj522: "Parent	TrVase	Name	sil-Vase-TR2	ModelName	sil-Vase-TR2"																	
Obj523: "Parent	TrVase	Name	sil-Vase-TR3	ModelName	sil-Vase-TR3"																	
Obj524: "Parent	TrVase	Name	sil-Vase-TR4	ModelName	sil-Vase-TR4"																	
Obj525: "Parent	Dish	Name	Silverware	ModelName	silverware"																	
Obj526: "Parent	Silverware	Name	SilverwareI	ModelName	silverwareI"																	
Obj527: "Parent	Painting	Personal	DLPaintR	ModelName	QuaintMain	Scripts:Script 0	DAutoTxtRepl	OTxtRepr1	obj\\txt16\\metal"													
Obj528: "Parent	DLPaintR	Personal	DLPaintFrame	ModelName	QuaintSnake1	OTxtRepr0	obj\\txt16\\metal"															
Obj529: "Parent	MoneyBox	Name	SmallFootlocker	ModelName	DFootlocker"																	
Obj530: "Parent	Cabinet	Name	DCarvedCabinet2	ModelName	DCarvedCab2"																	
Obj531: "Parent	SpeedPotion	Name	SpeedPot2	ModelName	SpeedPot2"																	
Obj532: "Parent	PottedPlants	Name	SpikySingle	ModelName	DSpikySingle"																	
Obj533: "Parent	Cabinet	Name	Steelcabinet	ModelName	DSteelcabinet"																	
Obj534: "Parent	FootLocker	Name	DLockedWoodBox	ModelName	DLockedWoodBox"																	
Obj535: "Parent	Vegetation	Name	S_MoonFlower	ModelName	S_MoonFlwr"																	
Obj536: "Parent	Small Plants	Name	DWeed11	ModelName	DWeed11"																	
Obj537: "Parent	Small Plants	Name	DWeed11x8	ModelName	DWeed11x8"																	
Obj538: "Parent	Small Plants	Name	DWeed12	ModelName	DWeed12"																	
Obj539: "Parent	Small Plants	Name	DWeed13	ModelName	DWeed13"																	
Obj540: "Parent	HealingPotion	Personal	HealingPotion2	ModelName	Vile1c"																	
Obj541: "Parent	VineDecal1	Name	V_VineDecal1	ModelName	v_vindec1"																	
Obj542: "Parent	VineDecal2	Name	V_VineDecal2	ModelName	v_vindec2"																	
Obj543: "Parent	VineDecal3	Name	V_VineDecal3	ModelName	v_vindec3"																	
Obj544: "Parent	Towers	Name	JoTower01	ModelName	tower01"																	
Obj545: "Parent	JoTower01	Name	JoTower02	ModelName	tower02"																	
Obj546: "Parent	JoTower01	Name	JoTower03	ModelName	tower03"																	
Obj547: "Parent	JoTower01	Name	JoTower1R	ModelName	DTower1R"																	
Obj548: "Parent	JoTower01	Name	JoTower2R	ModelName	DTower2R"																	
Obj549: "Parent	GoldCStick	Name	V_GoldCandle	ModelName	v_trcandle"																	
Obj550: "Parent	Tree01	Name	V_Tree1	ModelName	v_tree"																	
Obj551: "Parent	Tree03	Name	V_Tree3	ModelName	v_tree03"																	
Obj552: "Parent	DetTree1Summer	Name	v_Tree1Summer	ModelName	v_treej"																	
Obj553: "Parent	DetTree2Summer	Name	v_Tree2Summer	ModelName	v_treej2"																	
Obj554: "Parent	DetTree3Summer	Name	v_Tree3Summer	ModelName	v_treej3"																	
Obj555: "Parent	DetTree1Snow	Name	v_Tree1Snow	ModelName	v_treesno1"																	
Obj556: "Parent	DetTree2Snow	Name	v_Tree2Snow	ModelName	v_treesno2"																	
Obj557: "Parent	DetTree3Snow	Name	v_Tree3Snow	ModelName	v_treesno3"																	
Obj558: "Parent	LargeLeafPlant	Name	TropicalPlant	ModelName	DTropicalPlant"																	
Obj559: "Parent	LargeLeafPlant	Name	TropicalPlant2	ModelName	DTropicalPlant2"																	
Obj560: "Parent	Small Plants	Name	SmallTropicalPlant	ModelName	DTropicalPlant3"																	
Obj561: "Parent	DetBush1Summer	Name	v_Bush1Summer	ModelName	v_bushj1"																	
Obj562: "Parent	DetBush2Summer	Name	v_Bush2Summer	ModelName	v_bushj2"																	
Obj563: "SKIP	Bushes	Name	1aBushR	ModelName	D1aBushR"																	
Obj564: "Parent	DFlowerbedBig	Name	DFlowerbedBigR	ModelName	DFlowerbed1R"																	
Obj565: "Parent	lantern	Personal	VaultLantern	ModelName	VaultLantern"																	
Obj566: "Parent	Key	CoSaS	CoSKeys"																			
Obj567: "Parent	CoSKeys	CoSaS	CoSKey01	ModelName	coskey01"																	
Obj568: "Parent	CoSKeys	CoSaS	CoSKey02	ModelName	coskey02"																	
Obj569: "Parent	CoSKeys	CoSaS	CoSKey03	ModelName	coskey03"																	
Obj570: "Parent	CoSKeys	CoSaS	CoSKey04	ModelName	coskey04"																	
Obj571: "Parent	CoSKeys	CoSaS	CoSKey05	ModelName	coskey05"																	
Obj572: "Parent	CoSKeys	CoSaS	CoSKey06	ModelName	coskey06"																	
Obj573: "Parent	CoSKeys	CoSaS	CoSKey07	ModelName	coskey07"																	
Obj574: "Parent	CoSKeys	CoSaS	CoSKey08	ModelName	coskey08"																	
Obj575: "Parent	CoSKeys	CoSaS	CoSKey09	ModelName	coskey09"																	
Obj576: "Parent	CoSKeys	CoSaS	CoSKey10	ModelName	coskey10"																	
Obj577: "Parent	CoSKeys	CoSaS	CoSKey11	ModelName	coskey11"																	
Obj578: "Parent	CoSKeys	CoSaS	CoSKey12	ModelName	coskey12"																	
Obj579: "Parent	CoSKeys	CoSaS	CoSKey13	ModelName	coskey13"																	
Obj580: "Parent	CoSKeys	CoSaS	CoSKey14	ModelName	coskey14"																	
Obj581: "Parent	CoSKeys	CoSaS	CoSKey15	ModelName	coskey15"																	
Obj582: "Parent	CoSKeys	CoSaS	CoSKey16	ModelName	coskey16"																	
Obj583: "Parent	CoSKeys	CoSaS	CoSKey17	ModelName	coskey17"																	
Obj584: "Parent	CoSKeys	CoSaS	CoSKey18	ModelName	coskey18"																	
Obj585: "Parent	Food	Name	DSausage	ModelName	DSausage	Class Tags:1: Tags	DeviceType SoftFood"															
Obj585: "Parent	DSausage	Name	DSausageHalf	ModelName	DSausageHalf"																	
Obj585: "Parent	DSausage	Name	DSausageSlice	ModelName	DSausageSlice"																	
Obj585: "Parent	BreadLoaf	Name	DBread	ModelName	DBread"																	
Obj585: "Parent	DBread	Name	DBreadHalf	ModelName	DBreadHalf"																	
Obj585: "Parent	DBread	Name	DBreadSlice	ModelName	DBreadSlice"																	
																						
																						
Obj1: "Parent	Mechanist	HAMMERITES	Hammerites																			
Obj2: "Parent	Hammerites	FORCE	ham guard 	Link:Weapon:#-1311		MotActorTagList:tags	WithSword 0, Hammer 0	Creature														
Obj3: "Parent	ham guard 	FORCE	hamguard2 																			
Obj4: "SKIP	Hammerites	Lets not move this one	ham novice	PROPS																		
Obj5: "SKIP	hamguard2 	Included in New	Ham Soldier 8	MeshTex:texture in model	HamSol02.gif	MeshTex:replace with	hamsol08.png			91												
Obj6: "SKIP	hamguard2 	Included in New	Ham Soldier 9	MeshTex:texture in model	HamSol02.gif	MeshTex:replace with	hamsol09.png			92												
Obj7: "SKIP	hamguard2 	Included in New	Ham Soldier 6	MeshTex:texture in model	HamSol02.gif	MeshTex:replace with	hamsol06.png			96												
Obj8: "SKIP	ham guard 	Included in New	Ham Soldier 7	MeshTex:texture in model	HamSol01.gif	MeshTex:replace with	hamsol07.png			99												
Obj9: "Parent	Hammerites	FORCE	ham priest	AI:Behavior set	Human spellcaster	Scripts:Script 0	AttackActivate	Link:~ParticleAttachement:-3075	Type:#2:joint:#10	Link:~ParticleAttachement:-3076	Type:#2:joint:#10	Link:AIProjectile:#-2607	Selection Desire:4:Firing Delay:.2.5:Accuracy:#3:Leads Target:#1:Launch Joint:#12	Class Tags:1: Tags	CreatureType Servant	AIRCProp	{Minimum Distance:#10:Ideal Distance:#25:Firing Delay:#3:Cover Desire:#4:Decay Speed:.0.01:Fire While Moving:#5}					
Obj10: "Parent	ham priest	Where is the long robe	Noble Ham Priest	ModelName	noblem02_1					100												
Obj11: "Parent	ham priest		Murus	ModelName	Murus																	
Obj12: "Parent	ham priest		HamInquisitor	ModelName	HamINQ01																	
Obj13: "Parent	ham priest		HamInquisitor2	ModelName	HamINQ02																	
Obj14: "Parent	ham priest		HamPriest1	ModelName	Hamprs01																	
Obj15: "Parent	ham priest		HamPriest2	ModelName	Hamprs02																	
Obj16: "Parent	ham priest		HamPriest3	ModelName	Hamprs03																	
Obj17: "Parent	ham priest		HamPriest4	ModelName	Hamprs04																	
Obj18: "Parent	ham priest		HamPriest5	ModelName	Hamprs05																	
Obj19: "Parent	ham priest	TIP: Get HMDK for new voices	HamPriestess	ModelName	HamPrW01	SpchVoice	vmechfems	EdComment	Alternative Voices vhamf vhamfem1 vhamfem2													
Obj20: "Parent	HamPriestess	TIP: Get HMDK for new voices	HamPriestess2	ModelName	HamPrW02																	
Obj21: "Parent	HamPriestess	TIP: Get HMDK for new voices	HamPriestess3	ModelName	HamPrW03																	
Obj22: "SKIP	ham guard 	Standard Replacement SKIPED	ham guard 	ModelName	hamsol01																	
Obj23: "SKIP	ham guard 	Standard Replacement SKIPED	hamguard2 	ModelName	hamsol02																	
Obj24: "Parent	ham guard 		Hamguard3	ModelName	hamsol03																	
Obj25: "Parent	ham guard 		Hamguard4	ModelName	hamsol04																	
Obj26: "Parent	ham guard 		Hamguard5	ModelName	hamsol05																	
Obj27: "Parent	ham guard 		Hamguard6	ModelName	hamsol06					566												
Obj28: "Parent	ham guard 		Hamguard7	ModelName	hamsol07					569												
Obj29: "Parent	ham guard 		Hamguard8	ModelName	hamsol08					572												
Obj30: "Parent	ham guard 	TIP: Get HMDK for new voices	HamGuardFem	ModelName	HamW01	SpchVoice	vmechfems	EdComment	Alternative Voices vhamf vhamfem1 vhamfem2	575												
Obj31: "Parent	HamGuardFem		HamGuardFem2	ModelName	HamW02					578												
Obj32: "Parent	HamGuardFem		HamGuardFem3	ModelName	HamW03					581												
Obj33: "Parent	HamGuardFem		HamGuardFem4	ModelName	HamW04																	
Obj34: "Parent	HamGuardFem		HamGuardFem5	ModelName	HamW05																	
Obj35: "Parent	HamGuardFem		HamGuardFem6	ModelName	HamW06																	
Obj36: "Parent	bow man 		HamArcher	ModelName	harchm01																	
Obj37: "Parent	HamArcher		HamArcher2	ModelName	harchm02																	
Obj38: "Parent	HamArcher		HamArcher3	ModelName	harchm03																	
Obj39: "Parent	HamArcher		HamArcher4	ModelName	harchm04																	
Obj40: "Parent	HamArcher		HamArcher5	ModelName	harchm05																	
Obj41: "Parent	HamArcher		HamArcher6	ModelName	harchm06																	
Obj42: "Parent	ham guard 		HamSword	ModelName	nham1	MotActorTagList:tags	WithSword 0															
Obj43: "Parent	HamSword		HamSword2	ModelName	nham2																	
Obj44: "Parent	HamSword		HamSword3	ModelName	nham3																	
Obj45: "Parent	HamSword		HamSword4	ModelName	nham4																	
Obj46: "Parent	HamSword		HamSword5	ModelName	nham5																	
Obj47: "Parent	HamSword		HamSword6	ModelName	nham6																	
Obj48: "Parent	HamSword		HamSword7	ModelName	nham7																	
Obj49: "Parent	HamSword		HamSword8	ModelName	nham8																	
Obj50: "Parent	Haunt		HauntSword	ModelName	HauntSw1																	
Obj51: "Parent	HauntSword		HauntSword2	ModelName	HauntSw2																	
Obj52: "Parent	HauntSword		HauntSword3	ModelName	HauntSw3																	
Obj53: "Parent	HauntSword		HauntSword4	ModelName	HauntSw4																	
Obj54: "Parent	HauntSword	HAMMERITES END	HauntSword5	ModelName	HauntSw5																	
Obj55: "SKIP	Haunt 	Standard Replacement SKIPED	Haunt 1b	MeshTex:texture in model	Haunt01.gif	MeshTex:replace with	haunt01.png	93														
Obj56: "Parent	Haunt 		Haunt 7	MeshTex:texture in model	Haunt01.gif	MeshTex:replace with	haunt07.png	94														
Obj57: "Parent	Haunt 	HAMMER HAUNTS END	Haunt 8	MeshTex:texture in model	Haunt01.gif	MeshTex:replace with	haunt08.png	95														
																						
Obj58: "Parent	KeeperAgent 	KEEPER SET	Keeper White	MeshTex:texture in model	Keep01.gif	MeshTex:replace with	keep01a.png	97														
Obj59: "Parent	KeeperAgent 		Keeper 1	MeshTex:texture in model	Keep01.gif	MeshTex:replace with	keep01b.png	98														
Obj60: "Parent	KeeperAgent 		Keeper 2	MeshTex:texture in model	Keep01.gif	MeshTex:replace with	keep01c.png	101														
